killandfight_1,killandfight_2,killandfight_3,killandfight_4,killandfight_5,killandfight_6,choice,certainty_trolley,RAT1,RAT1_time_First Click,RAT1_time_Last Click,RAT1_time_Page Submit,RAT1_time_Click Count,RAT2,RAT2_time_First Click,RAT2_time_Last Click,RAT2_time_Page Submit,RAT2_time_Click Count,RAT3,RAT3_time_First Click,RAT3_time_Last Click,RAT3_time_Page Submit,RAT3_time_Click Count,RAT4,RAT4_time_First Click,RAT4_time_Last Click,RAT4_time_Page Submit,RAT4_time_Click Count,RAT5,RAT5_time_First Click,RAT5_time_Last Click,RAT5_time_Page Submit,RAT5_time_Click Count,RAT6,RAT6_time_First Click,RAT6_time_Last Click,RAT6_time_Page Submit,RAT6_time_Click Count,RAT7,RAT7_time_First Click,RAT7_time_Last Click,RAT7_time_Page Submit,RAT7_time_Click Count,RAT8,RAT8_time_First Click,RAT8_time_Last Click,RAT8_time_Page Submit,RAT8_time_Click Count,RAT9,RAT9_time_First Click,RAT9_time_Last Click,RAT9_time_Page Submit,RAT9_time_Click Count,RAT10,RAT10_time_First Click,RAT10_time_Last Click,RAT10_time_Page Submit,RAT10_time_Click Count,RAT11,RAT11_time_First Click,RAT11_time_Last Click,RAT11_time_Page Submit,RAT11_time_Click Count,RAT12,RAT12_time_First Click,RAT12_time_Last Click,RAT12_time_Page Submit,RAT12_time_Click Count,RAT13,RAT13_time_First Click,RAT13_time_Last Click,RAT13_time_Page Submit,RAT13_time_Click Count,RAT14,RAT14_time_First Click,RAT14_time_Last Click,RAT14_time_Page Submit,RAT14_time_Click Count,RAT15,RAT15_time_First Click,RAT15_time_Last Click,RAT15_time_Page Submit,RAT15_time_Click Count,RAT16,RAT16_time_First Click,RAT16_time_Last Click,RAT16_time_Page Submit,RAT16_time_Click Count,RAT17,RAT17_time_First Click,RAT17_time_Last Click,RAT17_time_Page Submit,RAT17_time_Click Count,RAT18,RAT18_time_First Click,RAT18_time_Last Click,RAT18_time_Page Submit,RAT18_time_Click Count,RAT19,RAT19_time_First Click,RAT19_time_Last Click,RAT19_time_Page Submit,RAT19_time_Click Count,RAT20,RAT20_time_First Click,RAT20_time_Last Click,RAT20_time_Page Submit,RAT20_time_Click Count,age,gender,ethnicity,education,CFI_1,CFI_2,CFI_3,CFI_4,CFI_5,CFI_6,CFI_7,CFI_8,attention_check,CFI_10,CFI_11,CFI_12,CFI_13,CFI_14,CFI_15,CFI_16,CFI_17,CFI_18,CFI_19,CFI_20,distance,overlap,ARIS_1,ARIS_2,ARIS_3,ARIS_4,WCST_timetotal,color,number,shape,
1,1,1,1,1,1,1,40,1,1.386,3.714,4.474,2,1,3.831,6.999,8.907,2,1,1.965,4.129,4.792,2,1,1.312,3.586,4.323,2,1,2.28,2.28,4.563,1,0,0.931,0.931,20.127,1,1,0.214,1.531,9.985,2,1,2.154,7.708,8.272,2,1,1.081,1.081,3.662,1,1,1.025,1.025,4.73,1,0,7.708,7.708,9.488,1,0,1.531,1.531,20.118,1,1,1.048,1.048,7.891,1,1,2.18,2.18,14.555,1,1,1.564,1.564,6.724,1,1,1.698,1.698,5.179,1,0,2.689,2.689,20.116,1,0,1.266,1.266,13.395,1,1,1.124,1.124,4.68,1,1,0.959,0.959,8.073,1,26,1,4,1,5,6,7,5,7,7,6,5,1,4,7,5,6,6,7,7,6,6,7,7,76,75,2,2,2,2,10,37.5,67.5,56.25,
5,2,5,7,7,6,2,70,1,3.429,3.429,10.305,1,0,16.746,16.746,20.114,1,0,2.486,2.486,8.96,1,1,16.292,16.292,20.007,1,0,0,0,2.022,0,0,0,0,20.006,0,0,9.285,9.285,20.107,1,1,5.305,5.305,9.728,1,1,4.352,4.352,8.464,1,0,10.032,10.032,13.24,1,0,8.378,8.378,15.329,1,0,14.751,14.751,19.177,1,1,3.581,3.581,6.772,1,1,16.522,16.522,20.106,1,0,0,0,0.333,0,0,6.725,6.725,20.107,1,0,3.334,3.334,20.006,1,1,10.089,10.089,13.64,1,1,5.619,5.619,9.786,1,1,10.19,10.19,14.75,1,73,0,1,1,5,6,7,2,7,7,3,6,1,3,2,7,7,6,6,6,2,7,6,7,126,100,4,5,5,5,16,82.5,72.5,64.5833333333333,
3,1,1,1,1,2,1,80,1,1.555,1.555,7.422,1,1,1.224,1.224,4.976,1,1,1.309,1.309,4.92,1,1,0.971,0.971,5.094,1,1,1.176,1.176,4.741,1,1,1.104,1.104,4.993,1,1,1.026,1.026,11.355,1,1,1.204,1.204,10.995,1,1,2.339,2.339,5.743,1,1,1.327,1.327,4.595,1,0,1.18,1.18,20.123,1,0,1.611,1.611,20.012,1,1,1.645,1.645,11.399,1,1,1.041,1.041,12.719,1,0,1.102,1.102,20.016,1,0,1.769,1.769,20.113,1,0,2.201,2.201,20.117,1,1,1.849,1.849,14.461,1,1,1.075,2.676,18.797,2,1,0.978,0.978,5.284,1,25,2,1,1,4,6,7,7,7,7,4,7,1,3,3,7,7,7,5,5,7,7,7,7,53,47,4,2,1,1,12,87.5,87.5,87.5,
1,1,1,1,1,1,1,30,1,1.988,1.988,8.099,1,1,1.437,12.501,16.363,2,1,3.001,3.001,13.188,1,1,1.249,1.249,5.077,1,1,1.181,1.181,5.234,1,1,1.635,1.635,7.724,1,0,1.394,1.394,20.115,1,1,10.905,10.905,13.86,1,1,2.048,2.048,6.165,1,1,1.245,1.245,10.453,1,1,5.557,5.557,8.046,1,1,1.009,1.009,8.329,1,1,1.076,1.076,8.26,1,0,1.331,1.331,20.02,1,1,2.398,2.398,8.398,1,1,1.278,1.278,5.324,1,0,1.222,1.222,20.111,1,1,8.303,8.303,11.784,1,1,0.966,0.966,4.056,1,1,1.171,1.171,9.96,1,36,1,1,1,3,6,7,5,7,7,3,7,1,5,5,7,7,7,5,7,7,7,7,7,40,31,1,1,1,1,,82.5,87.5,77.0833333333333,
1,1,1,1,1,1,1,100,1,1.064,1.064,4.736,1,1,1.159,1.159,5.227,1,1,0.985,0.985,15.735,1,1,0.885,0.885,3.496,1,1,0.768,0.768,6.898,1,1,0.723,0.723,5.988,1,1,1.134,1.134,6.176,1,1,1.011,1.011,3.288,1,1,0.783,0.783,4.574,1,1,0.867,0.867,6.286,1,1,0.808,0.808,18.989,1,0,0.682,0.682,20.108,1,1,1.376,1.376,4.575,1,1,0.805,0.805,13.211,1,1,1.203,1.203,11.769,1,1,0.701,0.701,2.751,1,0,0.909,0.909,20.007,1,0,2.515,2.515,20.007,1,1,2.162,2.162,6.498,1,1,2.096,2.096,4.887,1,18,1,1,2,7,5,7,3,7,7,3,7,1,3,3,7,7,7,7,7,3,7,7,7,69,66,3,3,3,3,9,87.5,77.5,85.4166666666667,
1,1,1,3,2,1,1,100,1,1.001,1.001,17.014,1,1,1.202,1.202,4.87,1,0,1.612,15.365,20.018,2,1,9.19,9.19,11.839,1,1,0.982,0.982,6.041,1,1,1.024,1.024,5.001,1,0,1.05,1.05,15.416,1,1,0.993,0.993,5.087,1,1,0.934,0.934,4.49,1,0,1.06,1.06,20.009,1,0,0,0,20.112,0,0,3.885,3.885,20.008,1,0,1.506,1.506,20.109,1,1,1.532,6.909,12.02,2,0,1.022,1.022,18.98,1,1,0.841,0.841,9.513,1,0,1.04,1.04,8.169,1,0,0.976,0.976,20.112,1,1,1.766,1.766,6.319,1,1,0.962,0.962,11.271,1,27,1,1,1,7,5,7,3,7,7,4,6,1,4,4,7,7,7,4,5,5,7,7,7,85,86,2,2,2,1,29,85,87.5,83.3333333333333,
1,1,1,1,1,1,1,100,1,1.186,3.513,3.884,2,1,1.164,4.197,4.528,2,0,0.6,19.239,20.017,2,1,3.639,5.128,5.301,2,0,1.176,16.085,20.106,2,1,1.409,5.223,5.4,2,1,1.082,7.198,7.481,2,0,14.314,15.35,17.061,2,0,3.828,3.828,20.008,1,0,1.613,1.613,20.108,1,0,0,0,20.108,0,0,1.342,1.342,15.438,1,0,1.152,1.152,12.321,1,0,1.14,1.14,20.008,1,0,2.92,2.92,11.584,1,1,2.669,2.669,4.181,1,1,1.035,1.035,18.629,1,1,1.944,1.944,3.317,1,1,1.816,1.816,3.118,1,1,0.588,0.588,3.446,1,18,1,1,2,6,5,7,5,7,7,4,7,1,7,5,7,7,7,7,6,1,6,5,7,68,64,1,1,1,1,10,82.5,82.5,83.3333333333333,
2,2,4,2,4,1,1,100,1,2.515,2.515,8.283,1,1,2.077,2.077,6.745,1,1,1.683,1.683,12.279,1,1,1.796,4.574,14.389,3,1,8.425,8.425,11.043,1,1,2.085,2.085,9.227,1,0,1.984,1.984,20.022,1,1,4.163,4.483,11.075,2,1,1.957,2.261,7.81,2,1,2.273,2.273,7.556,1,0,2.355,2.355,20.119,1,0,2.427,2.427,20.013,1,1,1.781,1.781,6.825,1,1,1.636,1.636,9.436,1,1,1.926,1.926,20.012,1,0,1.151,1.151,18.236,1,0,1.926,6.868,20.012,2,0,2.599,3.056,20.124,3,1,1.692,1.692,7.876,1,0,2.049,2.049,20.017,1,34,1,1,2,6,5,7,5,7,7,5,7,1,5,3,7,7,7,5,7,2,7,7,7,85,86,6,1,5,1,12,80,82.5,85.4166666666667,
4,1,1,4,1,4,2,70,1,2.4,2.4,6.374,1,1,1.064,1.064,4.763,1,1,1.084,1.084,6.135,1,1,1.007,1.007,5.383,1,0,0.854,0.854,6.335,1,1,1.127,1.127,4.825,1,1,1.339,1.339,16.613,1,1,1.364,1.364,10.095,1,1,1.125,1.125,9.663,1,1,0.866,0.866,10.393,1,0,1.009,1.009,20.01,1,1,2.026,2.026,20.013,1,1,1.797,1.797,8.183,1,0,1.249,1.249,20.008,1,0,1.667,1.667,20.016,1,1,1.448,1.448,8.001,1,0,0.895,0.895,20.006,1,0,0,0,0.272,0,1,1.265,1.265,5.932,1,1,1.027,1.027,7.077,1,47,0,1,2,6,5,7,4,7,7,2,7,1,3,2,7,7,7,4,6,2,7,7,7,79,78,5,3,3,2,10,80,85,87.5,
5,7,1,5,5,7,2,80,1,1.41,1.41,7.224,1,1,1.3,1.3,11.474,1,0,1.55,1.55,20.009,1,1,3.331,3.331,7.169,1,0,2.314,2.314,20.013,1,0,2.917,2.917,12.092,1,0,0.946,0.946,20.011,1,0,2.538,2.538,20.006,1,0,2.607,2.607,17.355,1,1,1.226,1.226,7.705,1,0,2.194,2.194,20.011,1,0,2.754,2.754,20.11,1,1,2.84,2.84,10.031,1,0,1.614,1.614,20.013,1,0,2.85,2.85,20.107,1,0,7.348,7.348,20.007,1,0,2.923,2.923,20.01,1,1,2.426,2.426,10.464,1,1,3.032,3.032,6.43,1,1,8.183,8.183,13.398,1,50,1,1,2,5,5,7,1,7,7,1,7,1,1,1,7,7,7,5,4,1,7,7,7,125,100,6,7,4,5,13,75,65,58.3333333333333,
